,id,types,formattedAddress,rating,userRatingCount,regularOpeningHours.openNow,regularOpeningHours.periods,regularOpeningHours.weekdayDescriptions,displayName.text,displayName.languageCode,priceLevel
94,ChIJj3FBjGGrNTER87PpBt25O3E,"['school', 'point_of_interest', 'establishment']","538 Đ. Láng, Láng Hạ, Đống Đa, Hà Nội, Vietnam",4.8,16.0,True,"[{'open': {'day': 1, 'hour': 7, 'minute': 0}, 'close': {'day': 1, 'hour': 17, 'minute': 15}}, {'open': {'day': 2, 'hour': 7, 'minute': 0}, 'close': {'day': 2, 'hour': 17, 'minute': 15}}, {'open': {'day': 3, 'hour': 7, 'minute': 0}, 'close': {'day': 3, 'hour': 17, 'minute': 15}}, {'open': {'day': 4, 'hour': 7, 'minute': 0}, 'close': {'day': 4, 'hour': 17, 'minute': 15}}, {'open': {'day': 5, 'hour': 7, 'minute': 0}, 'close': {'day': 5, 'hour': 17, 'minute': 15}}, {'open': {'day': 6, 'hour': 7, 'minute': 0}, 'close': {'day': 6, 'hour': 11, 'minute': 45}}]","['Monday: 7:00\u202fAM\u2009–\u20095:15\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:15\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:15\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:15\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:15\u202fPM', 'Saturday: 7:00\u2009–\u200911:45\u202fAM', 'Sunday: Closed']",Lang Ha Secondary School,en,
95,ChIJtYu2ecutNTER9SToMrwaCDE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","292 Đ. Láng, Nhân Chính, Thanh Xuân, Hà Nội 11513, Vietnam",,,True,"[{'open': {'day': 0, 'hour': 7, 'minute': 0}, 'close': {'day': 0, 'hour': 21, 'minute': 0}}, {'open': {'day': 1, 'hour': 7, 'minute': 0}, 'close': {'day': 1, 'hour': 21, 'minute': 0}}, {'open': {'day': 2, 'hour': 7, 'minute': 0}, 'close': {'day': 2, 'hour': 21, 'minute': 0}}, {'open': {'day': 3, 'hour': 7, 'minute': 0}, 'close': {'day': 3, 'hour': 21, 'minute': 0}}, {'open': {'day': 4, 'hour': 7, 'minute': 0}, 'close': {'day': 4, 'hour': 21, 'minute': 0}}, {'open': {'day': 5, 'hour': 7, 'minute': 0}, 'close': {'day': 5, 'hour': 21, 'minute': 0}}, {'open': {'day': 6, 'hour': 7, 'minute': 0}, 'close': {'day': 6, 'hour': 21, 'minute': 0}}]","['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']",Madam Nhung,vi,
96,ChIJ4_L5k1yrNTERWlfAlRrCR8Y,"['seafood_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","794 Đ. Láng, P, Đống Đa, Hà Nội, Vietnam",4.6,1460.0,True,"[{'open': {'day': 0, 'hour': 8, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 8, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 2, 'hour': 8, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 8, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 8, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 8, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 8, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}]","['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",East Sea Seafood Restaurant,en,PRICE_LEVEL_EXPENSIVE
97,ChIJTRUAr4SsNTERvfzn920pds8,"['restaurant', 'food', 'point_of_interest', 'establishment']","85 Đ. Láng, Thượng Đình, Thanh Xuân, Hà Nội, Vietnam",,,,,,Phở Kỳ Hệ Thống Phở Gà Đồi,vi,
98,ChIJ27M0wNqtNTERFH4NVneQ-Gw,"['restaurant', 'food', 'point_of_interest', 'establishment']","85 Đ. Láng, Thượng Đình, Đống Đa, Hà Nội, Vietnam",3.5,28.0,True,"[{'open': {'day': 0, 'hour': 10, 'minute': 30}, 'close': {'day': 0, 'hour': 23, 'minute': 30}}, {'open': {'day': 1, 'hour': 10, 'minute': 30}, 'close': {'day': 1, 'hour': 23, 'minute': 30}}, {'open': {'day': 2, 'hour': 10, 'minute': 30}, 'close': {'day': 2, 'hour': 23, 'minute': 30}}, {'open': {'day': 3, 'hour': 10, 'minute': 30}, 'close': {'day': 3, 'hour': 23, 'minute': 30}}, {'open': {'day': 4, 'hour': 10, 'minute': 30}, 'close': {'day': 4, 'hour': 23, 'minute': 30}}, {'open': {'day': 5, 'hour': 10, 'minute': 30}, 'close': {'day': 5, 'hour': 23, 'minute': 30}}, {'open': {'day': 6, 'hour': 10, 'minute': 30}, 'close': {'day': 6, 'hour': 23, 'minute': 30}}]","['Monday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u200911:30\u202fPM']",LẨU NƯỚNG HUẤN BÉO,vi,
99,ChIJqXgsI0WrNTERtadeSqgi-Fk,"['restaurant', 'food', 'point_of_interest', 'establishment']","7 Ngõ 942 Đường Láng, Yên Hoà, Đống Đa, Hà Nội, Vietnam",4.6,15.0,True,"[{'open': {'day': 0, 'hour': 9, 'minute': 30}, 'close': {'day': 0, 'hour': 21, 'minute': 30}}, {'open': {'day': 1, 'hour': 9, 'minute': 30}, 'close': {'day': 1, 'hour': 21, 'minute': 30}}, {'open': {'day': 2, 'hour': 9, 'minute': 30}, 'close': {'day': 2, 'hour': 21, 'minute': 30}}, {'open': {'day': 3, 'hour': 9, 'minute': 30}, 'close': {'day': 3, 'hour': 21, 'minute': 30}}, {'open': {'day': 4, 'hour': 9, 'minute': 30}, 'close': {'day': 4, 'hour': 21, 'minute': 30}}, {'open': {'day': 5, 'hour': 0, 'minute': 0}, 'close': {'day': 5, 'hour': 21, 'minute': 30}}, {'open': {'day': 6, 'hour': 9, 'minute': 30}, 'close': {'day': 6, 'hour': 21, 'minute': 30}}]","['Monday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20099:30\u202fPM']",Sườn Kingdom Đường Láng - Sườn nướng BBQ,vi,
100,ChIJ13hw0XOrNTERAqE7frx7QkA,"['japanese_restaurant', 'korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","976 Đ. Láng, Láng Thượng, Đống Đa, Hà Nội 100000, Vietnam",3.5,8.0,True,"[{'open': {'day': 0, 'hour': 10, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 10, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 10, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 10, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 10, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 10, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 10, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}]","['Monday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']",Lẩu Nướng Hàn Quốc - Tươi BBQ - 976 Đường Láng,vi,
101,ChIJrzGkVmyrNTERTxW-6whZGrk,"['barbecue_restaurant', 'meal_delivery', 'bar', 'restaurant', 'food', 'liquor_store', 'store', 'point_of_interest', 'establishment']","790 Đ. Láng, Trung Hoà, Đống Đa, Hà Nội 100000, Vietnam",4.1,766.0,True,"[{'open': {'day': 0, 'hour': 9, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 30}}, {'open': {'day': 1, 'hour': 9, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 30}}, {'open': {'day': 2, 'hour': 9, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 30}}, {'open': {'day': 3, 'hour': 9, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 30}}, {'open': {'day': 4, 'hour': 9, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 30}}, {'open': {'day': 5, 'hour': 9, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 30}}, {'open': {'day': 6, 'hour': 9, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 30}}]","['Monday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200911:30\u202fPM']",BIA ĐỨC TRỌC - 790 ĐƯỜNG LÁNG,vi,PRICE_LEVEL_MODERATE
102,ChIJZ67vsa6rNTERpJce-ovVFc4,"['barbecue_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1116 Đ. Láng, Yên Hoà, Đống Đa, Hà Nội, Vietnam",4.8,45.0,True,"[{'open': {'day': 0, 'hour': 10, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 10, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 10, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 10, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 10, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 10, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 10, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}]","['Monday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']",Lẩu nướng Ngon BBQ,vi,
103,ChIJ3c49AJ6sNTERc1iEK_G2YzI,"['restaurant', 'food', 'point_of_interest', 'establishment']","152, 152 Đ. Láng, Thịnh Quang, Đống Đa, Hà Nội, Vietnam",3.9,105.0,True,"[{'open': {'day': 0, 'hour': 9, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 30}}, {'open': {'day': 1, 'hour': 9, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 30}}, {'open': {'day': 2, 'hour': 9, 'minute': 0}, 'close': {'day': 2, 'hour': 22, 'minute': 30}}, {'open': {'day': 3, 'hour': 9, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 30}}, {'open': {'day': 4, 'hour': 9, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 30}}, {'open': {'day': 5, 'hour': 9, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 30}}, {'open': {'day': 6, 'hour': 9, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 30}}]","['Monday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:30\u202fPM']",Sỹ Phú Hot Pot Restaurant,en,PRICE_LEVEL_MODERATE
