,place_id,name,business_status,formatted_address,price_level,rating,types
247,ChIJATCtYN8udTERC-wSFJ3_VMM,Hachi Hachi CMT8,OPERATIONAL,"81 Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,4.3,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
250,ChIJDXmYqc0udTERfOD0_Srbrgk,Jogger Store,OPERATIONAL,"776/3 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.4,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
253,ChIJf5pzKUgpdTERYkj9AmrDJl0,YG SHOP Tân Bình,OPERATIONAL,"718 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 72150, Vietnam",,4.3,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
255,ChIJ3fPfNssudTERe9j-WH8rq-Y,ENNI Thế Giới Thời Trang Xuất Khẩu,OPERATIONAL,"1025/20B Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
257,ChIJz_n5YhkvdTERwAL4MUHar8c,Three O’clock,OPERATIONAL,"551 Đ. Cách Mạng Tháng 8, Phường 11, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.5,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
259,ChIJwfxAu88udTER4cif8Ca5FXE,Saigon Sneaker Store (saigonsneakerstore.com),OPERATIONAL,"938 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,2.8,"['store', 'point_of_interest', 'establishment']"
260,ChIJfTcMknsvdTERE5yTJ_QpAnU,Highlands Coffee,OPERATIONAL,"90 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,4.3,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
261,ChIJoV2asYkvdTERUcGW8xYGa1w,Quà tết 2024 - Hộp quà tết cao cấp Happybox,OPERATIONAL,"1073/21 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.4,"['store', 'point_of_interest', 'establishment']"
262,ChIJFf8kuSQvdTERGQWgRhmhSzU,KaT Jewelry CMT8 Quận 3,OPERATIONAL,"179A Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,4.2,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
263,ChIJaZzcqtAudTER3XMYfQxiNaM,Street Style Shop,OPERATIONAL,"927/27B Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.5,"['shoe_store', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
