,place_id,name,datetime,rating,rating_n,populartimes,usual_popularity,current_popularity
10,ChIJ98k-SyQvdTERDU8T9bdMkpo,Nhà hàng Biển Dương 6 - Cách Mạng Tháng Tám,03-03-2024 17:43,4.1,1217.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 27, 26, 26, 26, 29, 37, 50, 61, 67, 67, 60, 47, 29]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 31, 31, 32, 36, 46, 58, 64, 64, 50, 37, 26]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 28, 32, 36, 39, 50, 70, 89, 100, 96, 80, 60, 40]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 24, 27, 33, 38, 44, 55, 69, 77, 77, 64, 49, 32]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 26, 29, 32, 38, 46, 63, 81, 91, 91, 79, 61, 41]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 35, 40, 41, 40, 42, 51, 64, 74, 74, 62, 44, 27]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 28, 32, 31, 24, 23, 27, 41, 50, 55, 48, 39, 25]}]",27,31.0
11,ChIJk7fzZSgvdTER833RJ7BD5Ok,SeaShell Mrs. Hồng,03-03-2024 17:43,4.5,148.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 22, 27, 27, 37, 57, 84, 98, 94, 71, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 22, 22, 22, 32, 57, 81, 100, 83, 52, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 42, 30, 23, 22, 28, 47, 71, 72, 64, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 20, 16, 16, 27, 50, 67, 79, 72, 54, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 33, 33, 32, 45, 49, 67, 74, 76, 61, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 33, 50, 47, 44, 54, 77, 100, 100, 71, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 30, 42, 47, 44, 49, 64, 76, 76, 62, 0, 0, 0]}]",64,35.0
12,ChIJq3PvIIcvdTERuDnUmvKGLNo,"Hủ Tiếu cá Thẩm Yên, cơm chiều",03-03-2024 17:43,4.0,1.0,"[{'name': 'Monday', 'data': [20, 50, 40, 70, 20, 40, 50, 60, 30, 30, 40, 30, 40, 40, 20, 20, 10, 20, 40, 20, 10, 0, 0, 10]}, {'name': 'Tuesday', 'data': [0, 0, 10, 30, 10, 30, 40, 10, 10, 40, 30, 50, 50, 30, 0, 0, 0, 0, 10, 40, 60, 50, 50, 50]}, {'name': 'Wednesday', 'data': [20, 10, 10, 0, 10, 10, 30, 70, 30, 10, 0, 10, 40, 70, 30, 10, 0, 10, 0, 0, 10, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 10, 20, 0, 10, 30, 50, 30, 30, 20, 60, 40, 20, 0, 0, 10, 30, 10, 10, 20, 60, 40, 60]}, {'name': 'Friday', 'data': [50, 60, 20, 10, 0, 0, 0, 0, 0, 0, 10, 20, 30, 30, 50, 90, 100, 40, 10, 0, 0, 0, 10, 40]}, {'name': 'Saturday', 'data': [30, 40, 30, 10, 60, 40, 20, 30, 30, 10, 10, 20, 10, 0, 10, 20, 30, 60, 60, 40, 10, 0, 10, 30]}, {'name': 'Sunday', 'data': [10, 0, 10, 40, 60, 40, 40, 20, 10, 0, 0, 10, 0, 0, 10, 20, 50, 20, 20, 20, 10, 0, 0, 10]}]",20,
13,ChIJ732_t9YudTERUCTvB0mLcNQ,Quán Nha Trang Ngon,03-03-2024 17:43,4.0,1.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 46, 15, 0, 7, 15, 7, 0, 0, 0, 0, 7, 23, 46, 23, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 7, 23, 23, 38, 53, 23, 15, 15, 15, 15, 38, 15, 15, 15, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 30, 23, 15, 23, 23, 15, 15, 15, 7, 7, 23, 30, 23, 30, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 30, 76, 100, 61, 23, 7, 15, 7, 0, 0, 7, 15, 38, 46, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 30, 30, 15, 23, 46, 30, 30, 46, 23, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 30, 30, 7, 7, 23, 53, 23, 15, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 53, 23, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 23, 0, 0, 0]}]",0,
14,ChIJK-bKLNUvdTERFcn2u35FudM,Vi cá Ông Đức,03-03-2024 17:43,5.0,1.0,"[{'name': 'Monday', 'data': [46, 15, 0, 7, 7, 0, 0, 0, 7, 30, 61, 84, 61, 46, 30, 30, 53, 38, 23, 0, 0, 7, 30, 23]}, {'name': 'Tuesday', 'data': [7, 15, 30, 30, 7, 0, 0, 15, 30, 61, 30, 23, 15, 7, 7, 23, 15, 0, 0, 0, 0, 0, 0, 15]}, {'name': 'Wednesday', 'data': [15, 15, 7, 23, 0, 7, 15, 38, 15, 7, 0, 0, 0, 7, 23, 69, 92, 100, 38, 15, 0, 0, 7, 23]}, {'name': 'Thursday', 'data': [53, 61, 30, 15, 38, 15, 23, 38, 84, 61, 61, 53, 30, 30, 53, 61, 46, 15, 0, 23, 53, 84, 38, 30]}, {'name': 'Friday', 'data': [23, 7, 7, 15, 53, 23, 7, 0, 0, 0, 0, 0, 7, 46, 53, 69, 30, 15, 0, 0, 0, 0, 0, 15]}, {'name': 'Saturday', 'data': [38, 76, 53, 53, 38, 38, 61, 23, 15, 15, 7, 7, 15, 7, 0, 0, 7, 23, 53, 38, 15, 0, 15, 23]}, {'name': 'Sunday', 'data': [23, 15, 7, 15, 23, 30, 15, 15, 30, 15, 23, 38, 61, 46, 30, 23, 15, 7, 15, 7, 7, 38, 61, 61]}]",7,
15,ChIJW0cdBcQvdTER8-oMJwT0FuU,FIT CENTER,03-03-2024 17:43,4.6,547.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 26, 30, 31, 28, 27, 30, 32, 39, 50, 67, 89, 90, 97, 100, 92, 71, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 21, 27, 22, 29, 30, 36, 32, 43, 53, 66, 71, 77, 90, 97, 90, 64, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 25, 37, 38, 32, 34, 36, 40, 45, 56, 73, 86, 79, 79, 83, 76, 52, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 28, 41, 42, 40, 34, 33, 33, 35, 46, 58, 69, 69, 76, 85, 83, 61, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 39, 44, 42, 33, 32, 33, 37, 39, 51, 66, 84, 84, 81, 78, 76, 63, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 26, 30, 33, 28, 30, 32, 31, 27, 25, 33, 47, 57, 67, 75, 79, 64, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 13, 22, 33, 37, 38, 33, 30, 25, 28, 34, 46, 50, 55, 59, 63, 55, 0, 0]}]",50,38.0
16,ChIJ9YE09dEudTERNEcX1eDdajY,White Rabbit Amusement Park,03-03-2024 17:43,4.3,7809.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 39, 51, 60, 59, 46, 0, 0]}, {'name': 'Tuesday', 'data': [11, 7, 4, 4, 6, 9, 15, 20, 21, 21, 19, 18, 17, 16, 17, 21, 28, 39, 50, 58, 58, 46, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 30, 43, 56, 64, 62, 49, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 25, 36, 48, 57, 56, 45, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 31, 44, 58, 70, 70, 56, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 29, 31, 29, 25, 21, 20, 24, 31, 42, 58, 75, 91, 93, 75, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 36, 35, 31, 25, 23, 25, 34, 49, 69, 87, 100, 95, 71, 0, 0]}]",69,56.0
17,ChIJoccfPyYvdTERaGaHzcJJasU,Thien Nam Hoa Electronics - District 10,03-03-2024 17:43,3.8,1269.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 55, 71, 73, 81, 78, 77, 83, 89, 92, 74, 52, 30, 20, 20, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 35, 56, 78, 84, 73, 65, 55, 62, 70, 57, 40, 22, 26, 30, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 46, 56, 69, 73, 78, 74, 82, 77, 80, 70, 49, 34, 32, 32, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 76, 85, 90, 80, 66, 49, 53, 67, 76, 82, 65, 60, 56, 36, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 54, 73, 86, 100, 87, 65, 48, 54, 68, 52, 34, 17, 10, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 42, 47, 35, 25, 21, 28, 38, 45, 44, 43, 27, 21, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 24, 27, 31, 23, 29, 31, 21, 15, 9, 14, 25, 30, 24, 33, 0, 0]}]",14,10.0
18,ChIJ-bSHQcsudTERqn5iWBupcTY,Công Ty Cổ Phần Giải Pháp Bao Bì Giấy Đất Phương Nam,03-03-2024 17:43,,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 92, 53, 38, 15, 7, 7, 15, 30, 15, 7, 0, 7, 23, 7, 0, 7, 15, 38, 15, 7]}, {'name': 'Tuesday', 'data': [0, 15, 46, 100, 23, 30, 15, 23, 30, 46, 30, 38, 23, 38, 53, 38, 38, 15, 15, 15, 38, 30, 15, 7]}, {'name': 'Wednesday', 'data': [30, 30, 30, 23, 69, 30, 15, 0, 0, 7, 15, 46, 30, 46, 46, 38, 30, 53, 46, 38, 15, 15, 15, 0]}, {'name': 'Thursday', 'data': [0, 7, 38, 38, 30, 15, 7, 0, 0, 0, 0, 7, 23, 7, 15, 30, 61, 30, 15, 0, 15, 23, 38, 61]}, {'name': 'Friday', 'data': [46, 15, 7, 15, 0, 0, 15, 38, 53, 30, 23, 7, 15, 7, 0, 7, 15, 30, 38, 53, 61, 23, 7, 15]}, {'name': 'Saturday', 'data': [38, 61, 23, 15, 7, 15, 7, 0, 7, 7, 7, 7, 15, 7, 0, 7, 23, 30, 7, 7, 15, 30, 15, 7]}, {'name': 'Sunday', 'data': [7, 7, 7, 0, 0, 7, 15, 46, 46, 53, 38, 46, 38, 38, 15, 7, 0, 0, 15, 15, 30, 23, 7, 7]}]",0,
19,ChIJfZdXndEudTERr1t6vCLNFUU,Aussie Meat Restaurants,03-03-2024 17:43,4.3,228.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 21, 28, 42, 64, 90, 84, 62, 49, 38, 43, 55, 74, 83, 67, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 13, 20, 37, 59, 85, 74, 50, 35, 33, 43, 61, 83, 85, 67, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 16, 24, 33, 50, 74, 72, 51, 33, 29, 40, 62, 87, 91, 72, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 18, 27, 38, 55, 76, 73, 51, 35, 27, 35, 50, 62, 71, 55, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 26, 31, 39, 52, 74, 66, 40, 28, 29, 43, 60, 79, 83, 70, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 31, 41, 47, 47, 42, 34, 35, 40, 54, 72, 89, 100, 82, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 27, 47, 58, 63, 63, 57, 50, 45, 44, 49, 67, 83, 94, 76, 0, 0, 0]}]",67,49.0
